,to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
22,vacp2p,106425.73896818714,2024-10-23,optimism,retrofunding5,"{""application_name"": ""nim-libp2p"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x0403926badb0cd173b98ea187d30423bfbd1d8a7c9c6...\nproject_name                                                   nim-libp2p\nproject_display_name                                           nim-libp2p\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  62603.375864\nto_project_name                                                    vacp2p\namount                                                      106425.738968\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 22, dtype: object"", ""token_amount"": 62603.3758636395, ""token_unit"": ""OP""}"
23,,162548.38356883853,2024-10-23,optimism,retrofunding5,"{""application_name"": ""One-click bare metal node"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xcf7477b956b4001b44a618139890f8decf0ad34ae55f...\nproject_name                                    One-click bare metal node\nproject_display_name                 One-click bare metal node deployment\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  95616.696217\nto_project_name                                                       NaN\namount                                                      162548.383569\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 23, dtype: object"", ""token_amount"": 95616.69621696384, ""token_unit"": ""OP""}"
24,,62847.51159124142,2024-10-23,optimism,retrofunding5,"{""application_name"": ""An indepedent ethereum execution"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x89d1fdde640450d31363f3b225210cf7472f1376f548...\nproject_name                             An indepedent ethereum execution\nproject_display_name    An indepedent ethereum execution client contri...\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  36969.124465\nto_project_name                                                       NaN\namount                                                       62847.511591\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 24, dtype: object"", ""token_amount"": 36969.12446543613, ""token_unit"": ""OP""}"
25,ethpandaops,265117.9765660022,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Kurtosis optimism package"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xe8bfa7f5bee60dc487b7f61e9f95b933e7302383570d...\nproject_name                                    Kurtosis optimism package\nproject_display_name                            Kurtosis optimism package\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 155951.750921\nto_project_name                                               ethpandaops\namount                                                      265117.976566\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 25, dtype: object"", ""token_amount"": 155951.75092117777, ""token_unit"": ""OP""}"
26,ethereumjs,211072.7747781315,2024-10-23,optimism,retrofunding5,"{""application_name"": ""ethereumjs-monorepo"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x1d333bf10026574b8df913bd83cff4c7e737fa0f2e18...\nproject_name                                          ethereumjs-monorepo\nproject_display_name                                  ethereumjs-monorepo\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 124160.455752\nto_project_name                                                ethereumjs\namount                                                      211072.774778\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 26, dtype: object"", ""token_amount"": 124160.45575184208, ""token_unit"": ""OP""}"
27,,109093.79370555114,2024-10-23,optimism,retrofunding5,"{""application_name"": ""RIG Ethereum Core Research"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xda3416979010249d4c8095d87a539006743741be970d...\nproject_name                                   RIG Ethereum Core Research\nproject_display_name                           RIG Ethereum Core Research\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  64172.819827\nto_project_name                                                       NaN\namount                                                      109093.793706\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 27, dtype: object"", ""token_amount"": 64172.81982679479, ""token_unit"": ""OP""}"
28,the-book-of-optimism-fault-proof-joohhnnn,118199.24526339822,2024-10-23,optimism,retrofunding5,"{""application_name"": ""The book of optimism fault proof"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x6c524b0afee6ab66e507b86f07f0338c5d1e5b7257c4...\nproject_name                             The book of optimism fault proof\nproject_display_name                     The book of optimism fault proof\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  69528.967802\nto_project_name                 the-book-of-optimism-fault-proof-joohhnnn\namount                                                      118199.245263\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 28, dtype: object"", ""token_amount"": 69528.96780199895, ""token_unit"": ""OP""}"
29,redprint-ratimon,147309.47260925994,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Redprint"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x8c9dc48abd56b9dd087c330879d38ad10c1be80349ad...\nproject_name                                                     Redprint\nproject_display_name                                             Redprint\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  86652.630947\nto_project_name                                          redprint-ratimon\namount                                                      147309.472609\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 29, dtype: object"", ""token_amount"": 86652.6309466235, ""token_unit"": ""OP""}"
30,grandinetech,118580.2105495121,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Rust KZG"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x2e12440c85ca56b172a63d1a17061f858e1111f5eb97...\nproject_name                                                     Rust KZG\nproject_display_name                                             Rust KZG\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  69753.065029\nto_project_name                                              grandinetech\namount                                                       118580.21055\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 30, dtype: object"", ""token_amount"": 69753.06502912477, ""token_unit"": ""OP""}"
31,gelato,152702.9853843744,2024-10-23,optimism,retrofunding5,"{""application_name"": ""1-Click Price Oracle"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xe4ad25cfe18eccc531582634d03b78b03b7115d5fc77...\nproject_name                                         1-Click Price Oracle\nproject_display_name                                 1-Click Price Oracle\nproject_category                                             OP Stack R&D\nrf5_rewards                                                   89825.28552\nto_project_name                                                    gelato\namount                                                      152702.985384\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 31, dtype: object"", ""token_amount"": 89825.28552022023, ""token_unit"": ""OP""}"
32,,211781.7882074771,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Rollup-as-a-Service Platform"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x078cf11f1d64911d10f1d57c1da9c09d67a167472afc...\nproject_name                                 Rollup-as-a-Service Platform\nproject_display_name                         Rollup-as-a-Service Platform\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 124577.522475\nto_project_name                                                       NaN\namount                                                      211781.788207\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 32, dtype: object"", ""token_amount"": 124577.52247498653, ""token_unit"": ""OP""}"
33,ethstorage,131188.13177351755,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Research and development on"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xdfeced1045accaf24826bb678bc6c44624588c1d1b5a...\nproject_name                                  Research and development on\nproject_display_name    Research and development on multi-section faul...\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  77169.489279\nto_project_name                                                ethstorage\namount                                                      131188.131774\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 33, dtype: object"", ""token_amount"": 77169.48927853974, ""token_unit"": ""OP""}"
34,upnodedev,120693.08123163616,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Alt-DA Server & Translation Hub"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x7ee54d5d8514a8be9172e4ce0dfb54cc3eba6cf57c88...\nproject_name                              Alt-DA Server & Translation Hub\nproject_display_name                      Alt-DA Server & Translation Hub\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  70995.930136\nto_project_name                                                 upnodedev\namount                                                      120693.081232\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 34, dtype: object"", ""token_amount"": 70995.93013625656, ""token_unit"": ""OP""}"
35,upnodedev,189118.79242143713,2024-10-23,optimism,retrofunding5,"{""application_name"": ""AWS KMS and YubiHSM signer for"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x3ba0b3e5456e209ea494e8f58197f3b46c20040a3cda...\nproject_name                               AWS KMS and YubiHSM signer for\nproject_display_name              AWS KMS and YubiHSM signer for OP Stack\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 111246.348483\nto_project_name                                                 upnodedev\namount                                                      189118.792421\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 35, dtype: object"", ""token_amount"": 111246.34848319832, ""token_unit"": ""OP""}"
36,upnodedev,175442.846688482,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Upnode Deploy"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x7b1045ef17287fe42e987ccf2960f710cbe2f6d55c12...\nproject_name                                                Upnode Deploy\nproject_display_name                                        Upnode Deploy\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 103201.674523\nto_project_name                                                 upnodedev\namount                                                      175442.846688\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 36, dtype: object"", ""token_amount"": 103201.67452263647, ""token_unit"": ""OP""}"
37,simple-optimism-node-smartcontracts,195370.65332793098,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Maintaining simple-optimism-node"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x1ebd314438920197b1b37ab41de3678c4f7d5e0b8444...\nproject_name                             Maintaining simple-optimism-node\nproject_display_name                     Maintaining simple-optimism-node\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                 114923.913722\nto_project_name                       simple-optimism-node-smartcontracts\namount                                                      195370.653328\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 37, dtype: object"", ""token_amount"": 114923.91372231234, ""token_unit"": ""OP""}"
38,,112924.2376235441,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Zeeve RaaS for OP Stack"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x2da519cc5be2bf70ab4fd79c979bf2d7d956e5a11be5...\nproject_name                                      Zeeve RaaS for OP Stack\nproject_display_name                              Zeeve RaaS for OP Stack\nproject_category                                         OP Stack Tooling\nrf5_rewards                                                  66426.022131\nto_project_name                                                       NaN\namount                                                      112924.237624\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 38, dtype: object"", ""token_amount"": 66426.02213149653, ""token_unit"": ""OP""}"
