,from_funder_name,to_project_name,amount,funding_date,grant_pool_name,metadata
36,clrfund,,1416.5614355584123,07/18/2023,round_9,"{""project_name"": ""rotki"", ""project_url"": ""https://rotki.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
37,clrfund,,1329.7107838416796,07/18/2023,round_9,"{""project_name"": ""Ethereum Lima"", ""project_url"": ""https://ethlima.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
38,clrfund,,1203.4370650822004,07/18/2023,round_9,"{""project_name"": ""L2 en Espa\u00f1ol"", ""project_url"": ""https://linktr.ee/layer2es"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
39,clrfund,,840.6468718223217,07/18/2023,round_9,"{""project_name"": ""Supercities"", ""project_url"": ""https://zenbit.mx/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
40,clrfund,,820.9865735346082,07/18/2023,round_9,"{""project_name"": ""Ethereum San Pedo Sula"", ""project_url"": ""http://ethereumsanpedrosula.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
41,clrfund,,624.2050147232818,07/18/2023,round_9,"{""project_name"": ""ethers.js"", ""project_url"": ""https://ethers.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
42,clrfund,,511.94776828833506,07/18/2023,round_9,"{""project_name"": ""Otterscan"", ""project_url"": ""https://twitter.com/otterscan"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
43,clrfund,,456.85290694038264,07/18/2023,round_9,"{""project_name"": ""Ether Alpha"", ""project_url"": ""https://etheralpha.org/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
44,clrfund,,409.92369414180865,07/18/2023,round_9,"{""project_name"": ""HER Latam"", ""project_url"": ""https://herdaolatam.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
45,clrfund,,417.8032683341233,07/18/2023,round_9,"{""project_name"": ""Minerva Wallet"", ""project_url"": ""https://minerva.digital/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
