,project,link,amount,tags,dune_namespace,oso_name
657,ATK,https://vote.optimism.io/retropgf/3/application/0x1c8c4fd36918b7b75642a5fccbcc1c4404299c3aed94ab0203a18c158f7744a6,6708.1,RetroPGF3,,
658,Accessible Education for Web3 Public Goods Changemakers,https://vote.optimism.io/retropgf/3/application/0xe40f4bceed7ff7b0cd1e3b4b13362b1494babab80dd37bf0c68ca00e1c707e55,22116.86,RetroPGF3,,
659,Admiano,https://vote.optimism.io/retropgf/3/application/0xc9eea786d0f4a0dedcf3c4bbb8998a516997b8f2f39c5096e30f455beedab862,0.0,RetroPGF3,,
660,Africa Founder Residency,https://app.charmverse.io/op-grants/page-5705466835310178,30000.0,"Grants Season 4, Cycle 15, Builders Grant",,
661,Airstack,https://vote.optimism.io/retropgf/3/application/0x2da0a205208f0703f3b53ee3b8a1e385d587a8c79768521ff1d088d34356a7a1,47956.47,RetroPGF3,,
662,Alex Harley,https://vote.optimism.io/retropgf/3/application/0xedd5da3aa7cb23ec992f2d0b8bc6da3976efa2d28ed3a30521b5cbe6069eea01,49689.64,RetroPGF3,,
663,Alpha Insiders,https://vote.optimism.io/retropgf/3/application/0xb8235b78bc813abcb99a302af764fb6b97e5e4d62803740995e4d0155da4def7,4968.96,RetroPGF3,,
664,Andino - Talent in technology,https://vote.optimism.io/retropgf/3/application/0xd5390391a52f0c2add9c6a9da3579d0eb4cdc8dfc62d30c791f29b7358e6d113,9937.93,RetroPGF3,,
665,Andrew Hong (ilemi),https://vote.optimism.io/retropgf/3/application/0xb9dc69169ecedba49d6e8c75ca7a115cb62ed8f59032454605a4ac12180f94c1,27544.96,RetroPGF3,,
666,Ankr,https://vote.optimism.io/retropgf/3/application/0x18d58f3a1be99ab8f5cb887edc4681df50b513b47dfec961ed4ddce79d42b109,49689.64,RetroPGF3,,
667,Apetimism,https://vote.optimism.io/retropgf/3/application/0x6e8a118fd384d47958f5a7773569de37463645011edb43193202c749f1e27ca5,0.0,RetroPGF3,,
668,Apetimism Launchpad,https://vote.optimism.io/retropgf/3/application/0x5fb9f9c499ef4e96440e5d9623068c8f7f10a3ed601c73628eb2e216f53338b9,0.0,RetroPGF3,,
669,Apetimism Launchpad,https://app.optimism.io/retropgf-discovery/0x2117085E7e4eE35825A9C71bbE46AAd8c01789f3,13769.0,RetroPGF2,,
670,Archly,https://vote.optimism.io/retropgf/3/application/0xee97ff73170357b99babe87e571446a14ceca69695a9f3cd877e20f29d55c0ab,38223.26,RetroPGF3,,
671,Arkham,https://vote.optimism.io/retropgf/3/application/0xc9eab65a0f546527d3e4556709a16daa43203e8642b538e2b5687b4127071ec9,0.0,RetroPGF3,,
672,Artemis Analytics,https://vote.optimism.io/retropgf/3/application/0x8df3105410325d956c1bbc30d3504ac0c32f2de16b2828b6029ec202c4954c63,0.0,RetroPGF3,,
673,AsymmetricDefi,https://vote.optimism.io/retropgf/3/application/0x28f3a89844dd7eda7d26a4dcd32231900665f2300aebeb2c717f066a232572e5,0.0,RetroPGF3,,
674,Atomic Links,https://gov.optimism.io/t/draft-gf-phase-1-proposal-atomic-links/5029,50000.0,"Grants Season 3, Cycle 10, Builders Grant",,
675,Attest Fest,https://vote.optimism.io/retropgf/3/application/0x60f9485a7773d0b6dfc5a250e5c724fb5bb9cc6f77ad3920204286f347f59ffc,22857.24,RetroPGF3,,
676,AyohTunde,https://vote.optimism.io/retropgf/3/application/0xe0e818d0ad170d8c2e66fbb83372463dffa9b19937a3b7b368a4adf307ffd193,0.0,RetroPGF3,,
677,BMX by Morphex,https://vote.optimism.io/retropgf/3/application/0x7ab835fe64d2895755b3bbb798cd2164884ff924485993448394a28a1f854d33,31801.37,RetroPGF3,,
678,Bankless Africa,https://vote.optimism.io/retropgf/3/application/0xd06e2d03da9fd53c32acf2de3762498f40b4c64bc9982de571d638605e8db73e,14906.89,RetroPGF3,,
679,Bankless Bengali,https://vote.optimism.io/retropgf/3/application/0x9f4fbe2f82b8c499849bfd1963f8798ab8f25f95b0631fdf44129d477a3f7b78,4968.96,RetroPGF3,,
680,Bankless DAO Magyar ( Hungarian ),https://vote.optimism.io/retropgf/3/application/0x239e74907063bead8e62acaaab47e4d716627b78036f7046e5d5403c405fb2aa,4968.96,RetroPGF3,,
681,Bankless Japan,https://vote.optimism.io/retropgf/3/application/0xefa725b7cc2edfa6b591a2dedbfc35be2520858d4b8df32a33f731c2d1ca8be1,6637.54,RetroPGF3,,
682,Bankless Malayalam ,https://vote.optimism.io/retropgf/3/application/0xd1fc5b5d7e7f975ce4e0b40c1f587f68ba4bb1e9ef72beb0a11128efb38c1b7b,6459.65,RetroPGF3,,
683,Bankless Publishing,https://vote.optimism.io/retropgf/3/application/0x9af42af0df7a417b399a5e83c3744391b0c8d0e433392f02fa819f48420ff80d,10931.72,RetroPGF3,,
684,BanklessDAO Turkish,https://vote.optimism.io/retropgf/3/application/0xb0e0767fc71db3090cdbb71b61ca3c6837e16377e4571fd2223ce4e7aedab8f4,4968.96,RetroPGF3,,
685,BanklessUA,https://vote.optimism.io/retropgf/3/application/0x494d0957610b0e388d1cd8746ec6d9bb2237d0ab7467a6f216c557ef7a6ac83a,4968.96,RetroPGF3,,
686,Banklessadria,https://vote.optimism.io/retropgf/3/application/0x33cbedc1cd085228b82aad34354954300fa82e7de307b5508ca3145c8e0f1ab7,4968.96,RetroPGF3,,
687,BasePaint,https://vote.optimism.io/retropgf/3/application/0x91bba885bafc9e5144c7577f7159778277e17eb6073d4f6adf5acd3b31c9f1fc,115058.35,RetroPGF3,,
688,Based Nouns,https://vote.optimism.io/retropgf/3/application/0x45f4ac02622878b9d0ff20242526729dce79ecb7b742099813cb6ef56533b377,49689.64,RetroPGF3,,
689,Baseswap,https://vote.optimism.io/retropgf/3/application/0x0acc8d164a8084029652743eb5a4d6e624ee9f2b18c5fe77ac3f0dcb9160b28d,24844.82,RetroPGF3,,
690,Basic course in blockchain and crypto literacy ,https://vote.optimism.io/retropgf/3/application/0x4944faa89385224a1c499f4a4f35d0d8a00331d2ab3020efd63e203793e11845,4968.96,RetroPGF3,,
691,Basic course in crypto literacy,https://app.optimism.io/retropgf-discovery/0xff95a2f9bf8fe8019d1f705B5b1e3cb8a8F223C0,4504.0,RetroPGF2,,
692,Bedrock Contracts Architecture Diagram,https://vote.optimism.io/retropgf/3/application/0x13b31e6d44adbf64b745db28dfac1c8a4003a6e11b244e2cbf2f105b5d98b24a,4968.96,RetroPGF3,,
693,Big Sybil'or,https://app.optimism.io/retropgf-discovery/0x8B93910594e2a09c30D7e97883f6d35d8772801d,2796.0,RetroPGF2,,
694,Bio.xyz,https://vote.optimism.io/retropgf/3/application/0xf52b29dee6155d61885345fc646a2e4de3258a9a51ff96f056ce2dcae02ae530,0.0,RetroPGF3,,
695,BitcoinAddict Thailand ,https://vote.optimism.io/retropgf/3/application/0x1aec42dbae707e65b8df0cb3694858b9becf180a60dba20975e5a3e710c3dbef,4968.96,RetroPGF3,,
696,Blockchain na Escola,https://vote.optimism.io/retropgf/3/application/0xce24df3f2e6686742dde97adb6eac3b7ce19a18fdcce2837e167484587f05404,10883.03,RetroPGF3,,
697,BlockchainOAU,https://vote.optimism.io/retropgf/3/application/0xdd13ea4a8294edb99dd6c59c65c5c15eae76e12ca23fdbe8d3141f3adb18198d,0.0,RetroPGF3,,
698,Blockchain_Space,https://vote.optimism.io/retropgf/3/application/0xa0b2b4ff3008a56ad78eec7d7c11b5deb1602a484de651c269de3fda04fad0a0,0.0,RetroPGF3,,
699,Blocktorch,https://vote.optimism.io/retropgf/3/application/0x0b2f10e6d718c30137841f1c2017c2aa0e5a16f11f3dd5e00c23ddd37f32e5a2,0.0,RetroPGF3,,
700,Blocktrend (區塊勢),https://vote.optimism.io/retropgf/3/application/0x43b75ffb6854af47b5566238d3077e593e819ec422d95156bcee4234aebb2a40,4968.96,RetroPGF3,,
701,Blocktrend (區塊勢),https://app.optimism.io/retropgf-discovery/0x36F322fC85B24aB13263CFE9217B28f8E2b38381,6356.0,RetroPGF2,,
702,Blue Norva,https://vote.optimism.io/retropgf/3/application/0x6eea26d2a2688f111f327806c65629f56802de7bc1078cd7618887ebf4006486,0.0,RetroPGF3,,
703,Bob,https://vote.optimism.io/retropgf/3/application/0x0aa530ea27323da4a3e87aa9318d26fdbc7ce40e9567a13cb8b65dbbeef4db3f,1987.59,RetroPGF3,,
704,Bored Town,https://gov.optimism.io/t/growth-experiment-bored-town-nft-art-community/5612,50000.0,"Grants Season 3, Cycle 11",,
705,Bored Town,https://app.optimism.io/retropgf-discovery/0x6fF5723435b7dfC2371B57Fb5cB4c373E5995C78,4109.0,RetroPGF2,,
706,Bored Town NFT art community,https://vote.optimism.io/retropgf/3/application/0x9d2d5d4f6fe9b6eb701f06c046c56f54d3ea287fc76cd237d7cb03f7f34d316b,12422.41,RetroPGF3,,
707,Bress,https://vote.optimism.io/retropgf/3/application/0x55b066faef9778562ef6b74addcd11c169bfa05d4d2b00fa56ab3d003a5246d9,0.0,RetroPGF3,,
708,Brian Kim,https://vote.optimism.io/retropgf/3/application/0xbf60aad61fe50124510ec9c2f806bea84a2cb24d9b1f820fec6f74eaa127e4a8,0.0,RetroPGF3,,
709,Brichis,https://vote.optimism.io/retropgf/3/application/0x12f8c09e2283155c61201fcc0263c628c07a522d4681242cf91cbc954c28d4cf,24357.86,RetroPGF3,,
710,CII,https://vote.optimism.io/retropgf/3/application/0x0dcf0958585d5eee6ef0de0fab32b480fff80558028f096d8cd93d812f261b86,8447.24,RetroPGF3,,
711,Cannon,https://app.charmverse.io/op-grants/proposals?id=dc826682-9388-425b-9cf6-b18dcba9add8,50000.0,"Grants Season 4, Cycle 13, Builders Grant",,
712,Cardo,https://vote.optimism.io/retropgf/3/application/0x74fa8a40b8989bbd3e3a9bebe3b3900f377be2f2feab6dc6a3d1272bbdf45b57,9937.93,RetroPGF3,,
713,Carlos Melgar,https://vote.optimism.io/retropgf/3/application/0x3b4636b476fecc9ad6d7ba3a0843ceaf1f3202b309de16a28e4f244bed98c2a5,14906.89,RetroPGF3,,
714,Castle Capital,https://vote.optimism.io/retropgf/3/application/0x497b9c9c4998c8766cda59603f34d2519cd0b52269d5269f372cb6983f4a5c1c,4968.96,RetroPGF3,,
715,Client Side Proofs,https://vote.optimism.io/retropgf/3/application/0xbc143f0bb65bd6355dbda961519e124721b88349b53ff73c699ae785a8d60411,0.0,RetroPGF3,,
716,Coinbold,https://vote.optimism.io/retropgf/3/application/0xae493e2a90529953b1fe3bc0e8232042935112e1b7a6ffad6a762b84b80e341b,0.0,RetroPGF3,,
717,Collab.Land,https://vote.optimism.io/retropgf/3/application/0x9ce4de6780a17ff4dfbab6b255157c5ee3aad755b83a7a38de5667bc6609f700,59627.57,RetroPGF3,,
718,CompareNodes,https://vote.optimism.io/retropgf/3/application/0x636d999fedb8bb3b3973646e85e30a63e2861700bd98a2d8125c791e7d541937,0.0,RetroPGF3,,
719,Compete Guide To Cross Chain / Rollup Interoperability,https://app.charmverse.io/op-grants/page-6494402652772964,100000.0,"Grants Season 4, Cycle 15, RFG8",,
720,Conduit,https://vote.optimism.io/retropgf/3/application/0xf6e92ff9410d269f6e6659011dfdc4f3cbd59fee6736924bf7fb948c75ca5113,89441.36,RetroPGF3,,
721,Coop Records Music,https://vote.optimism.io/retropgf/3/application/0xad1dd3ce07f04ed555f84a28aa95421353a89a7eb14145fd4b4239d44b4aeaef,51677.23,RetroPGF3,,
722,Crew,https://vote.optimism.io/retropgf/3/application/0x759e6f42422f5e660ce8359097c72c9598219be2fe5eada718100e53dd9866cf,0.0,RetroPGF3,,
723,Cross-chain interoperability research,https://app.charmverse.io/op-grants/page-2498144202521042,100000.0,"Grants Season 4, Cycle 15, RFG8",,
724,CrossAngle (“Xangle”),https://vote.optimism.io/retropgf/3/application/0xc769fbdc23daaddf4267c4026326106783271a78f1be761c859c9f508ebe895e,30297.76,RetroPGF3,,
725,Crypto Commons Association,https://vote.optimism.io/retropgf/3/application/0xaf6b794c61e26bd91422684b07eeef6d23baab119cdf060a98ae209f639370e7,14906.89,RetroPGF3,,
726,Crypto Fundraising,https://vote.optimism.io/retropgf/3/application/0x1d7420159a7ae784669c6d675dd4f88acaeda9ab56d762347797b19c6422e319,0.0,RetroPGF3,,
727,Crypto LDFM,https://gov.optimism.io/t/draft-gf-phase-1-proposal-crypto-lfdm/5030,10000.0,"Grants Season 3, Cycle 10",,
728,Crypto Sapiens,https://vote.optimism.io/retropgf/3/application/0x49e4327985ab88c1578c65953b88e6e492fe9a0e850678c56cca6d023f56449e,17888.27,RetroPGF3,,
729,CryptoConexión,https://vote.optimism.io/retropgf/3/application/0xc84d4bc9f541cc7905a3a5b68144b3a49ec97837e3713fe989520a31bcbe6087,12422.41,RetroPGF3,,
730,CryptoDuck,https://vote.optimism.io/retropgf/3/application/0xb7325aece5b94952d12d2042d7292bcb1bb217de28d55ed2d9f779a5bd1d0d76,4968.96,RetroPGF3,,
731,CryptoMage,https://vote.optimism.io/retropgf/3/application/0xfb1b19ddff60689f73f25dbc033f8423da1a7c9d900ccb6d6b35357823fdb8f8,9937.93,RetroPGF3,,
732,Cryptoast,https://vote.optimism.io/retropgf/3/application/0x6939fbb2f2cbf416e355659b9bd2cdbbd322c098607bdff1d0a87974c176b180,4968.96,RetroPGF3,,
733,Cryptocurrency and Friends,https://app.optimism.io/retropgf-discovery/0xEc087478B0bC2F1a18Ff01717e381f44B791114A,63907.0,RetroPGF2,,
734,Cryptola,https://vote.optimism.io/retropgf/3/application/0x07aba0691e21259cd522100bb6e651d69ef63c8c2c12878c392cd6d89c9d2aba,2732.93,RetroPGF3,,
735,Cryptomind Research,https://vote.optimism.io/retropgf/3/application/0x876550bff1a9cc69817bcf27d37ce8a7f2525dfe1bb54613cfa5b643c0b9f007,9937.93,RetroPGF3,,
736,Cryptosquare,https://vote.optimism.io/retropgf/3/application/0x1cdb926d184bb8a656cb141dadb5c2c01211afa9b060abcb5deb604d0a1cdf93,9937.93,RetroPGF3,,
737,Cryptotesters,https://vote.optimism.io/retropgf/3/application/0xfdff090a4b7839348e6e77c07018d20ea187249cd32c3d6661a06baebc82578e,0.0,RetroPGF3,,
738,Cryptoversidad,https://vote.optimism.io/retropgf/3/application/0x0f374141f63fadb67585ea00af986b0cce7fadacc91568cb52e3faaecc3db7a2,14906.89,RetroPGF3,,
739,Cryptoversidad,https://app.optimism.io/retropgf-discovery/0x281BA4E9B7e28982d6CB53EE3836865f1453e12F,10933.0,RetroPGF2,,
740,Cryptoversidad Team: Develop the most relevant and aligned audiovisual content for the Optimism Collective,https://gov.optimism.io/t/final-develop-the-most-relevant-and-aligned-audiovisual-content-for-the-optimism-collective/6153,55000.0,"Missions Season 4, Cycle 13, Intent 3, Fledgling, Builders Grant",,
741,DRAMA,https://vote.optimism.io/retropgf/3/application/0x7f3bf5b2180022c8ff66d6ad6517253fe8b01761df9a8bc4dbd4df65e05ad8f6,0.0,RetroPGF3,,
742,DackieSwap,https://vote.optimism.io/retropgf/3/application/0x97cacef9bf5fce74535c27a69bfd929cfe48b862253ce3fa53fe4dde4963a788,47956.47,RetroPGF3,,
743,DeFI Saint ,https://vote.optimism.io/retropgf/3/application/0x8207d38dd2b645c6df0b29f35e36bf30a6e42eac03054c63f139089c8f443082,9937.93,RetroPGF3,,
744,DeFi Declassified (OptiNauts NFT collection),https://vote.optimism.io/retropgf/3/application/0x3d17e2141d2f43c7bf1c32b2da17f39f8fd1d47fda7ddd5bc1ffb49562e99cf9,0.0,RetroPGF3,,
745,DeFi France,https://vote.optimism.io/retropgf/3/application/0xc4a629437b7193a4c4ea51f2f43c9f4f0e1ba9887f7f38e576ac45d7f66ec208,4968.96,RetroPGF3,,
746,DeFi Library,https://app.optimism.io/retropgf-discovery/0x4e3D9399C28c724293dd545225Ec843Ac4c9e953,6404.0,RetroPGF2,,
747,DeFunds,https://gov.optimism.io/t/gf-phase-1-proposal-defunds-co-decentralized-finance/4912,2500.0,"Grants Season 3, Cycle 10, Builders Grant",,
748,DeSchool,https://vote.optimism.io/retropgf/3/application/0xf4307a080fe3c893ca3a441a8c2b31011cee4fa51e46db8493a44445bffeff93,9937.93,RetroPGF3,,
749,DeepDAO,https://vote.optimism.io/retropgf/3/application/0xfaaed11baa954ccc12629031eeaf8dbfb8041b73f0e050614152b0d1b6beaed7,49689.64,RetroPGF3,,
750,Defigourmet,https://vote.optimism.io/retropgf/3/application/0x1eeb37b64c871d9e9988756d714dadd6cd645edb0f185389f2139d561df9e079,0.0,RetroPGF3,,
751,Defy Foundation,https://vote.optimism.io/retropgf/3/application/0x37772ce655f287f26af2d3c5252c704af87428dec0c993fd5d30f2e4f35f0314,4968.96,RetroPGF3,,
752,Delegate Corner,https://gov.optimism.io/t/final-delegate-corner-podcast-mission-proposal/6058,10000.0,"Missions Season 4, Cycle 13, Intent 4, Builders Grant",,
753,DevRel Uni,https://vote.optimism.io/retropgf/3/application/0xc76784fc7db684faae15967f8494991615dbc9149b371f2efc9afa9956e25097,0.0,RetroPGF3,,
754,Diego,https://vote.optimism.io/retropgf/3/application/0x553a463819936d8c8f5bdd26e2c3c6eba8fca668093e1b18f388f24bc6666012,49689.64,RetroPGF3,,
755,Divergent,https://vote.optimism.io/retropgf/3/application/0xe87485f46475bbd8b881558918f50099485718a652f363cb94454a58deddc58f,9937.93,RetroPGF3,,
756,Donate3,https://vote.optimism.io/retropgf/3/application/0xeef1e2aa3447f6231738c67c99227d02f33b87d853ea16fa21a137ed73bcd100,0.0,RetroPGF3,,
757,Duct Tape ,https://vote.optimism.io/retropgf/3/application/0x70552a6638c8b5ce74bc1e16c7c2580d29ece1c3f29804abb452be1204f74806,0.0,RetroPGF3,,
758,Duniversity (Dune Education),https://app.optimism.io/retropgf-discovery/0xAA857AC645733FbF3105b0406417d35BA1576ff8,11449.0,RetroPGF2,,
759,EGG 🥚 RECORDS,https://vote.optimism.io/retropgf/3/application/0xc239e46090b3ed9696d3ab3fc213668a3081333eaeeb4bf9f26e13d46ca1bfed,0.0,RetroPGF3,,
760,EIP Fun,https://vote.optimism.io/retropgf/3/application/0x74bb2fd6c1dacf0d3556a80af369e620df5ee6f348a8435b0b977064c79bc50d,0.0,RetroPGF3,,
761,EIP-4824/ DAOstar,https://vote.optimism.io/retropgf/3/application/0x62303737eacb3de8795ae5ad00bc2da45a36e8c4a033c20257b0f893f7c4d3a4,37214.56,RetroPGF3,,
762,EIP4844 collection,https://app.optimism.io/retropgf-discovery/eip-4844,195675.0,RetroPGF2,,
763,ERC4337 Smart Accounts Dune Dashboard,https://vote.optimism.io/retropgf/3/application/0x2eb508d0de065158c7ad478b90f5ad3bb34f530ae4eff096d2183a28e2d24930,75490.0,RetroPGF3,,
764,ETH Daily (OP News),https://vote.optimism.io/retropgf/3/application/0xe8db9badf4fac5f877c2333e492f853081b559be08bdfeb0d9947076637c1318,25838.61,RetroPGF3,,
765,ETHAccra,https://vote.optimism.io/retropgf/3/application/0x032562ffb94edec40ce6e75bae96a313d10dd6e6242b4e53e94dad57a5d69ef7,23607.55,RetroPGF3,,
766,ETHEREUM MÉXICO,https://app.optimism.io/retropgf-discovery/0xC0aC93ABb5539769Edac951D9EbD5BCbFB854b0f,15736.0,RetroPGF2,,
767,ETHSafari 2023,https://vote.optimism.io/retropgf/3/application/0xe75ec593d70d62544e17643586f9742e6bb779e9562eaa8202a9a04dd6782f85,82229.9,RetroPGF3,,
768,EVM.Finance,https://vote.optimism.io/retropgf/3/application/0xeb6a80070c1f94ee5bd855e4703d92bb41b44796b866c26c3be72bb74656a290,0.0,RetroPGF3,,
769,Encriptados,https://vote.optimism.io/retropgf/3/application/0xbd677b4b419fc7f370267f8a16c767ee86d5821a9ff623372d1201eba82028c2,4968.96,RetroPGF3,,
770,Equalizer,https://vote.optimism.io/retropgf/3/application/0x3fefb03794a7df62a191bd6d771f6ccfa00a52b266b352a9d1d070b6b257bf44,50913.0,RetroPGF3,,
771,Espacio Cripto,https://vote.optimism.io/retropgf/3/application/0xe05c110f8480f685c1918cf8ebdc592f92a2012f3f40bbf8568161d665136040,9937.93,RetroPGF3,,
772,Espacio Cripto,https://app.optimism.io/retropgf-discovery/0xcE36608441F24E2d5642932F2A511D98BBBC06A9,9910.0,RetroPGF2,,
773,Espacio Cripto: Let’s take the Optimistic Vision to LATAM,https://gov.optimism.io/t/final-lets-take-the-optimistic-vision-to-latam-with-espacio-cripto/6157,45600.0,"Missions Season 4, Cycle 13, Intent 3, Fledgling, Builders Grant",,
774,Eternal Garden: ORIGINS,https://vote.optimism.io/retropgf/3/application/0xa9f33a56aa40586c814f40717d2a50abc26ec56ce17f978e788abf6d05d19525,0.0,RetroPGF3,,
775,Eth-Volcano,https://vote.optimism.io/retropgf/3/application/0xd366e1bdec99b048ef89c5162522c7b520cb0ac87cfe20c806f2091072044aec,14906.89,RetroPGF3,,
776,Ethereum Colombia,https://vote.optimism.io/retropgf/3/application/0xa56d0018133907dbd04d4e07f18bebd9b1fcef5f3cbc8f2510d0724c35d9cea8,17888.27,RetroPGF3,,
777,Ethereum France,https://vote.optimism.io/retropgf/3/application/0x6354fae34134dde352bd3dbc3a0941d935dd089d8730ec5e5446213e92e713d7,49689.64,RetroPGF3,,
778,Ethereum Lima,https://vote.optimism.io/retropgf/3/application/0x2af9558e4a0079a549ae741e00f2893029dd0f5fc9225e935f7295c3371e2a4f,19875.86,RetroPGF3,,
779,Ethereum Mexico,https://vote.optimism.io/retropgf/3/application/0x1d538cf069b0305b1e1ba23f59f4d305fb1e501c977f6a7a80e6e414caa36077,24357.86,RetroPGF3,,
780,Ethereum Mexico: Rumbo optimista: hacia Ethereum Mexico,https://gov.optimism.io/t/final-rumbo-optimista-hacia-ethereum-mexico-the-event-optimistic-road-in-the-way-to-ethereum-mexico-the-event/6179,5800.0,"Missions Season 4, Cycle 13, Intent 3, Fledgling, Builders Grant",,
781,European Crypto Initiative,https://vote.optimism.io/retropgf/3/application/0xf82d6bed5abf74e7540f503c694097612b6002103966ccaec043b19557787cb9,21905.68,RetroPGF3,,
782,Eventcaster,https://vote.optimism.io/retropgf/3/application/0x09cf4d12f221b02800975408200f32b18b428c08f6796199f2b9b4a54fe86bc7,24844.82,RetroPGF3,,
783,FA40Ziv,https://vote.optimism.io/retropgf/3/application/0xadf0e10314510d7da68875b910ff50c889c540f98ae6a9b65eb55be4f37a13ce,0.0,RetroPGF3,,
784,FHE x OP ,https://app.charmverse.io/op-grants/page-2764105307198814,11000.0,"Grants Season 4, Cycle 15, RFG6",,
785,FilosofiaCodigo,https://vote.optimism.io/retropgf/3/application/0x6c36998db2c142c13535bed9481e4ec4ac6fdad0d616ede7d4b1279d342494ca,12422.41,RetroPGF3,,
786,Fire,https://vote.optimism.io/retropgf/3/application/0xa64b80a2cc3524a73173be61f8356f03be155dfa8f9f9e2f9bd9ec94c1d40e2e,62112.05,RetroPGF3,,
787,Fire,https://app.optimism.io/retropgf-discovery/0x57B02589d6e24203FC43e442ce9A4803E290293b,15774.0,RetroPGF2,,
788,First NFT Agency,https://vote.optimism.io/retropgf/3/application/0x733452eb6b9e98b599d8bd708a69086087618abd72a0c733ae7fd8c71c3deae5,4968.96,RetroPGF3,,
789,Frens,https://vote.optimism.io/retropgf/3/application/0xc78ef9f4578ace0ad5ee70cdf9aac6647a8d0d5ed16d08170007f6abddcdc0cf,49689.64,RetroPGF3,,
790,Fugu Works,https://vote.optimism.io/retropgf/3/application/0x2356a899e6a3b44ae87b63f06bfc7ab385031ae5f84553b91a79809b1f42b954,0.0,RetroPGF3,,
791,Funding the Commons,https://vote.optimism.io/retropgf/3/application/0x258d37e997650d7c83eba44f7210224fdb2afbf331e6e6dedb8bf6e83c75645c,92656.28,RetroPGF3,,
792,Gadgeteer (nanobro),https://vote.optimism.io/retropgf/3/application/0xa94487a5ed3b3cfd1d9c2ae647f359ec7537ce1f23751d1b069bcf2a651858ed,14906.89,RetroPGF3,,
793,Gajesh Naik,https://vote.optimism.io/retropgf/3/application/0x77bc669a940c76bd014eb7649f3970ec2fb8479de6167016a92bff163df6ac86,0.0,RetroPGF3,,
794,Giveth Web3 House,https://vote.optimism.io/retropgf/3/application/0x5e78ac7cb417bb9a6f96e126cd442468d925bf0be07547bbdf089bb07fde9b79,49689.64,RetroPGF3,,
795,Goerli,https://app.optimism.io/retropgf-discovery/goerli,143508.0,RetroPGF2,,
796,Governance Analytics Dashboard,https://gov.optimism.io/t/final-op-governance-analytics-dashboard/6171,24500.0,"Missions Season 4, Cycle 13, Intent 4, Builders Grant",,
797,Gravity DAO,https://vote.optimism.io/retropgf/3/application/0xb8293744bb647089c30bcee93260cef2baefefde4e2d94bac1ee7ed1516ab7cc,27329.3,RetroPGF3,,
798,GreenPill Network,https://vote.optimism.io/retropgf/3/application/0x55378093d61eafa2bc90b52e6719e48e518a33c4099169343b46dae452167bb9,22360.34,RetroPGF3,,
799,H.E.R. DAO LATAM,https://app.optimism.io/retropgf-discovery/0x1F9E7984eDdb135ab6D6f354E229970bB332dCC4,24881.0,RetroPGF2,,
800,"H.E.R., LatAm: Optimistic Womxn Shinning in Blockchain",https://gov.optimism.io/t/final-optimistic-womxn-shining-in-blockchain/6140,15761.0,"Missions Season 4, Cycle 13, Intent 3, Fledgling, Builders Grant",,
801,HER LATAM _ Optimistas Brillando en Blockchain,https://vote.optimism.io/retropgf/3/application/0xe2475267e00104f0095decdb6da91a6e0cc172e4fa2a336bc36b5bf3eba13fa3,21366.55,RetroPGF3,,
802,Harberger Tax implementation & EIP Draft,https://app.charmverse.io/op-grants/page-4531848727548431,19500.0,"Grants Season 4, Cycle 15, Builders Grant",,
803,Hedgehog Protocol,https://app.charmverse.io/op-grants/page-781875301575714,25000.0,"Grants Season 4, Cycle 15, Builders Grant",,
804,Hitasyurek,https://vote.optimism.io/retropgf/3/application/0x8529424f94a220361835d9ddcdd4dc60c45c5ec556f5dfdc8515dd2bcfb9b4ff,4968.96,RetroPGF3,,
805,Hope: A Curated AI Assistant for the Optimism Ecosystem,https://vote.optimism.io/retropgf/3/application/0x61c8643cde34638a2c02c2672fe49f60bd5076527811573e0cc6cabb15cf29e0,0.0,RetroPGF3,,
806,IC3,https://vote.optimism.io/retropgf/3/application/0xb8741b55dc416bd673cfb40a1ae2f19e10e1ddc2acc809c27016a5a4c17484fa,49689.64,RetroPGF3,,
807,ITU Blockchain,https://vote.optimism.io/retropgf/3/application/0x9dd5aa707043c2286fdb625be1a5b46808a10aad3f137e89855683bcb260b013,29813.79,RetroPGF3,,
808,IceBreak-R,https://vote.optimism.io/retropgf/3/application/0x114c13890758c9829e133d5483871a2fcd95d98253781532e54c4be6b4a3f46d,0.0,RetroPGF3,,
809,Identity Fusion in the Optimism Ecosystem ,https://app.charmverse.io/op-grants/page-6729876631574907,20000.0,"Grants Season 4, Cycle 15, RFG6",,
810,Immunefi,https://vote.optimism.io/retropgf/3/application/0x12da34c1a3904b0f73945a9d7babe8f5182000b737a7da1fc3777554589a2191,129193.07,RetroPGF3,,
811,Immunefi Bug Bounty Program for Protocols building on Optimism,https://app.charmverse.io/op-grants/page-6599670971221563,210000.0,"Grants Season 4, Cycle 15, Growth Grant",,
812,Inbest Program,https://vote.optimism.io/retropgf/3/application/0x50a46b0a2eb26fc734d5429337e6446d068451fb903c86b1dfc79bef41eebaee,9937.93,RetroPGF3,,
813,Interface,https://vote.optimism.io/retropgf/3/application/0x74332149d2712aaf8639acfcc5de8aaad60365f28b5348896a8a3a174163d98a,38223.26,RetroPGF3,,
814,International Media Nodes (IMN),https://vote.optimism.io/retropgf/3/application/0xe86ace02ddfb143eb1034965b5b5a326b19e99945800afc1452d2d04397994e7,4968.96,RetroPGF3,,
