,project,link,amount,tags,dune_namespace,oso_name
50,Holograph,https://vote.optimism.io/retropgf/3/application/0xd36960a852e96960b93022ee1d40f33170e9786cda841db0bb6a8f4130658529,79503.43,RetroPGF3,Holograph,holograph
51,Holonym,https://vote.optimism.io/retropgf/3/application/0xb0f319e13cdddf0cb23344062d1e445a0c0f005e9d44a93692838438a5ee0c3b,64596.53,RetroPGF3,Holonym,holonym-foundation
52,Hop DAO,https://vote.optimism.io/retropgf/3/application/0x67ced2fcb164fe4806d9f1e10cb7a6ba4862530cd9d60a188e3dd3d5c6ce162d,49689.64,RetroPGF3,Hop Protocol,hop-protocol
53,Hop Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-hop-protocol/944,1000000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Hop Protocol,hop-protocol
54,Hop Protocol,https://app.optimism.io/retropgf-discovery/0x816a684f40b8B4B060A4Df7A10caD589Ef64E95e,38596.0,RetroPGF2,Hop Protocol,hop-protocol
55,Hundred Finance,https://gov.optimism.io/t/ready-gf-phase-1-hundred-finance/2733/4,300000.0,"Grants Season 1, Cycle 3 (Phase 1), Incentive Program Launched",Hundred Finance,hundred-finance
56,Hypercerts Foundation,https://vote.optimism.io/retropgf/3/application/0xdc7101e51a122ec96eaf07c4191f5cc0a096ef50cbbdfdf5936464369991afb2,94410.32,RetroPGF3,Hypercerts,hypercerts
57,InsureDAO,https://gov.optimism.io/t/review-gf-phase-1-insuredao/3584,100000.0,"Grants Season 2, Cycle 8 (Phase 1)",InsureDAO,insuredao
58,Interest Protocol 2,https://gov.optimism.io/t/review-gf-phase-1-interest-protocol-development-deployment-to-optimism/2951?u=gfxlabs,31764.0,"Grants Season 2, Cycle 6 (Phase 1)",Interest Protocol,interest-protocol
59,Kromatika,https://gov.optimism.io/t/ready-gf-phase-1-proposal-cycle-6-kromatika/3306,300000.0,"Grants Season 2, Cycle 6 (Phase 1)",Kromatika Finance,kromatika-finance
60,Kromatika Finance,https://vote.optimism.io/retropgf/3/application/0x3eca7098f253e56e7f0b2da0877651ec375762f07fdae2583281b3d0c82f50e3,24844.82,RetroPGF3,Kromatika Finance,kromatika-finance
61,Kwenta,https://vote.optimism.io/retropgf/3/application/0xd19033e89a3fcb4a7dc19baad712836f6965cf6b4efc0a40f1f0e46d23f8256c,99876.18,RetroPGF3,Kwenta,kwenta
62,Kwenta,https://gov.optimism.io/t/gf-phase-0-proposal-kwenta-protocol/1122/2,900000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Kwenta,kwenta
63,Kwenta Referral Program,https://app.charmverse.io/op-grants/page-5311906072594612,210000.0,"Grants Season 4, Cycle 15, Growth Grant",Kwenta,kwenta
64,KyberSwap,https://gov.optimism.io/t/ready-gf-phase-1-proposal-kyberswap/4068,250000.0,"Grants Season 3, Cycle 10","Kyberswap, KyberSwap",kyber-swap
65,LI.FI,https://gov.optimism.io/t/review-gf-phase-1-proposal-li-fi/3360,200000.0,"Grants Season 2, Cycle 7 (Phase 1)",LiFi,lifinance
66,LYRA V2,https://app.charmverse.io/op-grants/page-8973550421901375,210000.0,"Grants Season 4, Cycle 15, Growth Grant",Lyra Finance,lyra-finance
67,Lyra Finance,https://vote.optimism.io/retropgf/3/application/0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,99379.28,RetroPGF3,Lyra Finance,lyra-finance
68,Lyra V1,https://gov.optimism.io/t/gf-phase-0-proposal-lyra-finance/202/22,3000000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Lyra Finance,lyra-finance
69,Mean Finance,https://gov.optimism.io/t/ready-gf-phase-1-proposal-mean-finance/2537,300000.0,"Grants Season 1, Cycle 2 (Phase 1)",Mean Finance,mean-finance
70,Metalswap,https://gov.optimism.io/t/metalswap-growth-experiments-grant-cycle-11/5613,30000.0,"Grants Season 3, Cycle 11",Metalswap,metalswap-defi-foundation
71,Metronome - Growth Experiments Grant,https://app.charmverse.io/op-grants/proposals?id=0a036d87-7394-4279-8fc1-8815f966861a,149000.0,"Grants Season 4, Cycle 13, Growth Grant",Metronome,metronome-autonomoussoftware
72,Mirror,https://vote.optimism.io/retropgf/3/application/0x2d8dc7a3cd967718d8f27253b4a3912653d308620007576ac0697ba65fecd985,138983.92,RetroPGF3,Mirror,mirror
73,MUX Protocol,https://app.optimism.io/retropgf-discovery/0x7b4c5F852AA6b44Bd01F9252C3F93Ae1aa1c63e9,986.0,RetroPGF2,Mux,mux-world
74,Mux,https://gov.optimism.io/t/draft-gf-phase-1-proposal-mux-protocol/5037,250000.0,"Grants Season 3, Cycle 10",Mux,mux-world
75,NFTEarth,https://vote.optimism.io/retropgf/3/application/0x00129cda3549f0230e7b7868745bdd11085164ede251ca9c5b2dd5af720d60e8,0.0,RetroPGF3,NFTEarth,nftearth
76,NFTEarth,https://app.optimism.io/retropgf-discovery/0xD131F1BcDd547e067Af447dD3C36C99d6be9FdEB,594.0,RetroPGF2,NFTEarth,nftearth
77,Nested,https://gov.optimism.io/t/ready-gf-phase-1-proposal-nested/4965,250000.0,"Grants Season 3, Cycle 10",Nested,nested
78,Nested,https://app.optimism.io/retropgf-discovery/0x0BE55326919F08Af4D14A42aAfb3B68F95738355,8664.0,RetroPGF2,Nested,nested
79,Orbiter Finance,https://app.optimism.io/retropgf-discovery/0xd923CA098dBBFb0d24677a3150fa3aA97be461b5,6697.0,RetroPGF2,Orbiter Finance,orbiter-finance
80,Overnight.fi,https://gov.optimism.io/t/review-gf-phase-1-proposal-overnight-fi-v2/3772,400000.0,"Grants Season 2, Cycle 8 (Phase 1)",Overnight+,overnight
81,Pendle,https://app.charmverse.io/op-grants/proposals?id=9ea8a89a-9892-47fb-85a6-19344ff9fd6a,112000.0,"Grants Season 4, Cycle 13, Growth Grant",Pendle,pendle-finance
82,Perpetual Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-perpetual-protocol/201/13,9000000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Perpetual Protocol,perpetual-protocol
83,Pickle Finance,https://gov.optimism.io/t/ready-gf-phase-1-proposal-pickle-finance/2723,200000.0,"Grants Season 1, Cycle 2 (Phase 1), Incentive Program Launched",Pickle Finance,pickle-finance
84,Pika Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-pika-protocol/1103,900000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Pika Protocol,pika-protocol
85,Optimistic Indexer,https://vote.optimism.io/retropgf/3/application/0x75815ccd858e6b97c6e8435e24ec66b1bc4d67c4775a81d4b49a8c58b62daf3f,99379.28,RetroPGF3,Polynomial Protocol,polynomial-protocol
86,Polynomial Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-polynomial-protocol/1625,900000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Polynomial Protocol,polynomial-protocol
87,EIP-5164 / PoolTogether Inc,https://app.optimism.io/retropgf-discovery/0x0a09cd09B0107Bb98a83f211704F036ECa94B92e,54551.0,RetroPGF2,"Pooltogether, PoolTogether",pool-together
88,PoolTogether,https://gov.optimism.io/t/review-gf-phase-1-pooltogether/3747,550000.0,"Grants Season 2, Cycle 8 (Phase 1)","Pooltogether, PoolTogether",pool-together
89,Premia,https://gov.optimism.io/t/draft-gf-phase-1-proposal-premia/5034,235000.0,"Grants Season 3, Cycle 10",Premia,premiafinance
90,Iggy Social - Web3 Social for DAOs,https://vote.optimism.io/retropgf/3/application/0x7d3016ec843e04aa195883ac9287fb02b66f67ccbece89883463b9a0ae7f10f1,38223.26,RetroPGF3,Punk Domains,punk-domains
91,Pyth Network,https://vote.optimism.io/retropgf/3/application/0xfeba07d541bf93651d4278ab2fb91f89b147e6c5d743ea29fe797958997644cf,74534.46,RetroPGF3,Pyth,pyth-network
92,Pyth Network ,https://app.charmverse.io/op-grants/proposals?id=2aa53df9-afe5-4977-a630-53b719caa0fc,40000.0,"Grants Season 4, Cycle 13, Builders Grant",Pyth,pyth-network
93,QiDao,https://gov.optimism.io/t/ready-gf-phase-1-proposal-qidao-protocol/2863,750000.0,"Grants Season 1, Cycle 4 (Phase 1)",QiDao,qidao-mai-finance
94,Rabbit Hole,https://gov.optimism.io/t/draft-gf-phase-1-proposal-rabbithole-quests-on-optimism/5377,248500.0,"Grants Season 3, Cycle 11",Rabbithole,rabbithole
95,RabbitHole,https://vote.optimism.io/retropgf/3/application/0x4f382f942845103eace9ad3e46a817e5e95a1676974c58358c7c84d540fdd951,76445.53,RetroPGF3,Rabbithole,rabbithole
96,Rainbow Wallet,https://vote.optimism.io/retropgf/3/application/0xb1af1a67d6a94f233303d850c607aa1e26365237ab1376864a81d636ec0ebe0a,76445.53,RetroPGF3,Rainbow,rainbow
97,Rainbow Wallet,https://gov.optimism.io/t/review-gf-phase-1-proposal-optimism-rainbow/3564,420069.0,"Grants Season 2, Cycle 7 (Phase 1)",Rainbow,rainbow
98,RainbowKit,https://vote.optimism.io/retropgf/3/application/0xe9140c31f3a448f0f52124b3f9782f7947d698a686ceb20f77f60366670f3f8e,99379.28,RetroPGF3,Rainbow,rainbow
99,RedStone Oracles on Optimism,https://app.charmverse.io/op-grants/proposals?id=68dc0853-0009-4348-8df8-e9d4d3e393e8,40000.0,"Grants Season 4, Cycle 13, Builders Grant",RedStone,redstone-finance
100,Revert,https://vote.optimism.io/retropgf/3/application/0x653d55ee03bdd6efb8c8cf7434f6c98fd3741bb5dbbc678d021365adfd9dce23,30479.63,RetroPGF3,Revert Finance,revert-finance
101,Revert Compoundor,https://gov.optimism.io/t/ready-gf-phase-1-revert-finance-compoundor/3242,240000.0,"Grants Season 2, Cycle 6 (Phase 1), Incentive Program Launched",Revert Finance,revert-finance
102,Rigoblock,https://app.optimism.io/retropgf-discovery/0x080f08076e8EAdC66006C3CbFEd28a34918A1fA6,928.0,RetroPGF2,RigoBlock,rigo-block
103,Rocket Pool,https://gov.optimism.io/t/ready-gf-phase-1-rocket-pool/2822,600000.0,"Grants Season 1, Cycle 4 (Phase 1)",Rocket Pool,rocket-pool
104,Rubicon,https://gov.optimism.io/t/gf-phase-0-proposal-rubicon/794/5,900000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Rubicon,rubicon
105,Rubicon,https://gov.optimism.io/t/gf-phase-1-proposal-rubicon/5068,200000.0,"Grants Season 3, Cycle 10",Rubicon,rubicon
106,Flexible Voting,https://vote.optimism.io/retropgf/3/application/0x0d545183c325a4ddc39efb4311dc9c8221d6bc0e3a0179feae2c308c5111da6d,44720.68,RetroPGF3,ScopeLift,scopelift
107,Flexible Voting,https://app.optimism.io/retropgf-discovery/0x8f5906963Ae276E1631EFA8Ff1a9CaE6499EC5E3,19057.0,RetroPGF2,ScopeLift,scopelift
108,Umbra,https://app.optimism.io/retropgf-discovery/0x5C04E7808455ee0e22c2773328C151d0DD79dC62,34178.0,RetroPGF2,ScopeLift,scopelift
109,Slingshot,https://gov.optimism.io/t/gf-phase-0-proposal-slingshot/1326,300000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Slingshot,slingshot
110,Socket,https://gov.optimism.io/t/review-gf-phase-1-proposal-socket/3647/2,500000.0,"Grants Season 2, Cycle 8 (Phase 1)",Socket,socket
111,Socket ,https://vote.optimism.io/retropgf/3/application/0xef72bca84161d8ba1e471dbe58b8a3fef9cd56e697e885d78c6ec5c77e81b71a,76445.53,RetroPGF3,Socket,socket
112,Sonne Finance,https://gov.optimism.io/t/draft-2-gf-phase-1-proposal-sonne-finance/4779,250000.0,"Grants Season 3, Cycle 10",Sonne Finance,sonne-finance
113,Sonne Finance ,https://vote.optimism.io/retropgf/3/application/0x655147f840bb857c98d0a6841d40c43a0d1359aa79843c46e8e15b9f8cafd6eb,81987.91,RetroPGF3,Sonne Finance,sonne-finance
114,Stargate Finance,https://gov.optimism.io/t/gf-phase-0-proposal-stargate-finance/721/5,1000000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Stargate Finance,stargate-finance
115,Superfluid,https://gov.optimism.io/t/ready-gf-phase-1-proposal-superfluid/2314,150000.0,"Grants Season 1, Cycle 3 (Phase 1)",Superfluid,superfluid
116,Sushi,https://vote.optimism.io/retropgf/3/application/0x176d93beb29316e51b21e42cc1d49ef0867b37bda258b06ba410a3043fee7df5,99379.28,RetroPGF3,Sushi,sushi
117,Sushiswap,https://gov.optimism.io/t/ready-gf-phase-1-sushi-part-1/3301,504000.0,"Grants Season 2, Cycle 7 (Phase 1)",Sushi,sushi
118,Synapse,https://gov.optimism.io/t/gf-phase-0-proposal-synapse-protocol/928,1000000.0,"Grants Season 1, Cycle 1 (Phase 0)",Synapse,synapse
119,Synapse Labs,https://vote.optimism.io/retropgf/3/application/0x3d2fe07760753070d5f3fe44fb92923065c688b56f3069906d8eae4cc3867fb6,24357.86,RetroPGF3,Synapse,synapse
120,Synpress,https://gov.optimism.io/t/synpress-builders-grant-cycle-11/5578,50000.0,"Grants Season 3, Cycle 11, Builders Grant",Synthetix,synthetix
121,Synpress,https://app.optimism.io/retropgf-discovery/0xd35E119782059A27FEAd4EddA8B555f393650BC8,91887.0,RetroPGF2,Synthetix,synthetix
