address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,choice.10,choice.11,choice.12,choice.13,choice.14,choice.15,choice.16,choice.17,choice.18,choice.19,choice.20,choice.21,choice.22,choice.23,choice.24,choice.25,voting_power,timestamp,author_ipfs_hash,reason
0x841AD0AbAb2D33520ca236A2F5D8b038adDc12BA,,,,,,,,,1,,1,,,1,,,,,,,,,,,,133.7,1710911425,bafkreigj3vxw2ovyeurru6jtx6nbxpcdsd6hladzyyvyai3n2k5dphjzme,""
0x12846A6Da4e729a6B5c33d32F93bf52EE3CAe8C3,,,,,,,,,1,,,,,,,,,,,,,,,,,100,1710912836,bafkreiera4tkhaly3dkm3jtecruje4ylmhh2uxufeml7semnonhrmfq2pu,""
0xCA119907Cfd60C35E8EEDCf99B1dB01eF8c179AA,,,,,,,,,1,,,,,,,,,,,,,,,,,110,1710913125,bafkreiadzedezl7zqvcvhzky7dmyz7obplqsv3tcrar73wltpdifkgfote,""
0xC3d43f8E008ccFf959101b8d0d26562e84d2B204,,,,,,,,,1,,,,,,,,,,,,,,,,,110,1710913183,bafkreic46kw46slkmi4f67mgw73ukiqo4mghl3cp3lutarcfci6ljdlr7e,""
0xB9573982875b83aaDc1296726E2ae77D13D9B98F,,,,,,,,,,,1,,,,,1,,1,,1,,,1,,,1000,1710913806,bafkreigkqxrhq2vgnwqzaos35u6y2tgcnpcmaaep4dtizzf56s7keweeyu,""
0x16f3f2f0ba34973937A1ebb989a295Ca106b67C7,,16,16,,,,,,,,20,,,16,,,16,,,,,,16,,,1000,1710919814,bafkreie4hk63ddfmeb5mredfkj47rq2w5osd2ido3ftvw67ho4nc6tk3ea,""
0x7E52082fd8ca9025E7E2C4Da3fc7C4FeF9Fd9706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1710920264,bafkreicjkwzourfe5qdkxif2im7nqrp2cqxev44j76thvt5i2m47ypbdy4,""
0x841C11b14c428dd591093348B8Afa2652C863988,,,,,,,,,,,,,,,,,,,,1000,,,,,,1000,1710920618,bafkreihgc7ekl6ahocfnoyssc5d7gusyltiqznr4bqw66n4hbm2uzudtn4,""
0x3bEcE46eA4cb308b1B8D8f50cB1728D6A4a20808,1,1,1,1,,1,,1,1,,,,,1,,,,,,,,,1,,,990,1710922750,bafkreif74b6y4markl23os77g77xemwiyj7od54gghxys5prdtltue3pfu,""
0x4506568E4733F3062CfA9cdb952Ba7904Fc7d8bb,1,1,1,1,,,,1,1,,1,,,1,,,1,,,,,,1,,,999,1710922852,bafkreicwz635mq3s2kvf433vpanykjolyck5yqwagxkut7ozr6ylzq7uc4,""
0xc42c77b6B2A2B220b9502F357bBf51334Db3C93f,1,1,1,1,,,,1,1,,,,,1,,,2,,,,,,1,,,990,1710922916,bafkreigws3kx5vl63mamokwrkbarnyll2lx6kygoljht3gs7r7udfwnyeu,""
0x8D247f4Fbbe81429d3D164a5c9Ae0063210edBdC,1,1,1,1,,,,1,1,,1,,,1,,,1,,,,,,1,,,990,1710923793,bafkreifwfybgg3pijjycffusamikhpoc2dgh2i6umi4gtgvfc747ow5bxm,""
0x1D45c8fa65F6b18E7dAe04b2efEa332c55696DaA,,,,,,,,1,,,,,,,,1,1,,,,,,,,,10331.401598510885,1710927505,bafkreibos2oyvc2tujsgthsnwmi6yb3zqybhlhxzwprnxkus7672do6vve,""
0xC2812325caD4C4C782CbbC1164e9373371D31dB2,,,,,,,,,,,,,,,,,,,,,,,1,,,200,1710929245,bafkreidmck2vyeyyxokdn77x3ee3cyzpv3pqlwjtpppe2oyspduns2g3de,""
0xBc6d82D8d6632938394905Bb0217Ad9c673015d1,,,,,,,,,,,,,,,,,,1,,2,,,,,,46166,1710929794,bafkreieurvh5uebzubhk3orlwscc5rw3ixi2dn566c46og5owitxndhwyq,""
0xDc9C5e34959eC3643AF1e1D34A83D6b251AAb1eF,,,,,,,,,,,,,,1,,,,,,,,,1,,1,108.5,1710931360,bafkreieu3c4qgaigs7is25lmbwjtijovbgvopyvtkq42kmymp76evlusdu,""
0x40DE3299Bd8a10D8Ac3f32C1A55DE40640cF9B75,,,,,,,,,,,,,,1,,,,,,,,,1,,1,107.83966650182309,1710931756,bafkreifcqcrb54nhh6hhbjplevcf6wzbr6vw56r7r4glvdr2fgkh3wwpja,""
0xC33F87697EF41e0E95e7a55d1ec8180F04088578,,,,,,,,,,,,,,1,,,,,,,,,1,,1,108,1710932175,bafkreiatexajp5mt4uskwd2cfltzeqrixevlijddlanibana6kh4iujftm,""
0xCBc924183Bc32D02746Fa8D38843B5Ce08662eB4,,,,,,,,,,,,,,1,,,,,,,,,1,,1,104,1710932545,bafkreih7o77x6rzul4fsnkutsc3wo6h7p7xuo7uxglebbimuchebkhf27u,""
0xB68da7fbF71383Afab240839287878539cFFf20b,5,,,,,,,,5,,,,,,,,,,,,,,,,,1000,1710937227,bafkreihrmrycxgbxebp3r6lxwmrmhvd5plzslvndftrfnayobmxthjkh2q,""
0xfE1552DA65FAcAaC5B50b73CEDa4C993e16d4694,,,,,,,,,,,,,,100,,,,,,,,,,,,339.08547415,1710937472,bafkreihmz2bezastxgnhpyx3655meqr2rnebhueta2o6zieb2wvzp7dtju,""
0xaCE1f1c6c5c89AE3Fc3209ff92e7120fb74445aA,,,,,100,,,,,,,,,,,,,,,,,,,,,1000,1710939171,bafkreiad2alcfmkan6j34cjjipi4tkgwr57fksxem74lvfbmr2ks5kkl7e,""
0x015122A625b45f68E6D795C0Ab99fC7107e4c3B9,,,,,1,,,1,1,,1,,,1,,1,,,,1,,,,,1,1000,1710940138,bafkreifslx6lekwbylxh3wyan3luvg3kmz3or74nujkhwsnrpmutahnraq,""
0x85BEad65c61dB8cF230b3ec30552B8b3E6388570,,,,,,,,,,,,,,,,,,,,1,,,,,,500,1710940191,bafkreicw3llrs7jiglkeyzyk42cfzpjclmd52fn626oigcvjab5nevzcte,""
0xf9e1D1e9F22c96752356AdFd377231528c7E851E,,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,1000,1710941342,bafkreiadsmll3le3fm5s2qainnrhjasxpgfk2lltsrnxg4ijajwhzh2wjq,""
0x5a5D9aB7b1bD978F80909503EBb828879daCa9C3,,,,,1,1,,1,1,1,,,,1,,,1,1,,,1,,1,,,5000,1710944551,bafkreifx6syl4vqvdeas4lfzb6elemdtvktlwppdyqqq43w3mmnh4mn2aa,""
0xBB5935dAaFbacAE82c8D2CA8377F16073D70061a,,,,,,,,16,,,20,,,17,,,,,,16,,16,15,,,1000,1710944981,bafkreih6jfjdvh44e76th7hpacianskbfykaf3hg6s7kgfr2r3e5qthe2m,""
0xFC967DE4e029fdcD16B418DaC2147d282C93085b,,,,,,,,16,,,16,,,16,,,,,,16,,16,20,,,900,1710945567,bafkreidcxulmqmel2mgja2ixlzbhxoihss6rhou7m3254xum576tcr2mny,""
0x801a6d6dBC1e40466E131aA21D951629A9efAB4e,,,,,,,,16,,,19,,,16,,,,,,16,,16,17,,,1000,1710945867,bafkreiai54zoyg7esfe4bwljmlav7gxw4l72opjdwhjtqybzysawfviv2u,""
