to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
synapse,3500000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Synapse"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 2000000.0, ""token_unit"": ""ARB""}"
thales,875000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Thales"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 500000.0, ""token_unit"": ""ARB""}"
tide-protocol-fiveelementslabs,140000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Tide"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 80000.0, ""token_unit"": ""ARB""}"
timeswap-labs,350000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Timeswap"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 200000.0, ""token_unit"": ""ARB""}"
traderjoe-xyz,2642500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Trader Joe"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1510000.0, ""token_unit"": ""ARB""}"
treasureproject,525000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Realm"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 300000.0, ""token_unit"": ""ARB""}"
umamidao,1312500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Umami Finance"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 750000.0, ""token_unit"": ""ARB""}"
unsheth,656250.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""unshETH"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 375000.0, ""token_unit"": ""ARB""}"
velaexchange,1750000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Vela"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1000000.0, ""token_unit"": ""ARB""}"
vertex-protocol,5250000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Vertex"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 3000000.0, ""token_unit"": ""ARB""}"
winrprotocol,875000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""WINR"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 500000.0, ""token_unit"": ""ARB""}"
withtally,350000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Tally"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 200000.0, ""token_unit"": ""ARB""}"
woonetwork,1750000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""WOOFi"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1000000.0, ""token_unit"": ""ARB""}"
wormhole,3150000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Wormhole"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1800000.0, ""token_unit"": ""ARB""}"
,350000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Thetanuts Finance"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 200000.0, ""token_unit"": ""ARB""}"
,875000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Sanko"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 500000.0, ""token_unit"": ""ARB""}"
,87500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Tales of Elleria"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 50000.0, ""token_unit"": ""ARB""}"
