,oso_slug,project_name,project_id,project_url,project_address,funder_name,funder_round_name,funder_round_type,funder_address,funding_amount,funding_currency,funding_network,funding_date
20156,jones-dao,JonesDAO,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,2000000.0,ARB,arbitrum,2023-12-01
20157,angle-protocol,Angle,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,700000.0,ARB,arbitrum,2023-12-01
20158,wormhole,Wormhole,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1800000.0,ARB,arbitrum,2023-12-01
20159,tide-protocol-fiveelementslabs,Tide,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,80000.0,ARB,arbitrum,2023-12-01
20160,galxe,Galxe,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2023-12-01
20161,dolomite-exchange,Dolomite,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2023-12-01
20162,dinngo,Furucombo,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,59500.0,ARB,arbitrum,2023-12-01
20163,dforce-network,dForce,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2023-12-01
20164,,Tales of Elleria,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,50000.0,ARB,arbitrum,2023-12-01
20165,openocean-finance,OpenOcean,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2023-12-01
